"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"198","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",39.4,-6.2,0.09,0.17,1.376,"[77]"
"199","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.1,-5.3,-0.02,0.11,1.376,"[77]"
"200","Bothrometopus","elongatus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.4,-5.2,-0.01,0.15,1.376,"[77]"
"201","Bothrometopus","elongatus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.1,-4.5,-0.03,0.07,1.376,"[77]"
"202","Bothrometopus","elongatus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.5,-6.3,0.01,0.16,1.376,"[77]"
"203","Bothrometopus","elongatus","insect",7,0.25,0.25,-46.896448,37.750885,"t",39,-6.6,0.11,0.16,1.376,"[77]"
"204","Bothrometopus","elongatus","insect",7,0.25,0.25,-46.896448,37.750885,"t",37.4,-5.5,0.1,0.1,1.376,"[77]"
"205","Ectemnorhinus","marioni","insect",7,0.25,0.25,-46.896448,37.750885,"t",37.2,-5.5,0.04,0.13,1.376,"[77]"
"206","Ectemnorhinus","marioni","insect",7,0.25,0.25,-46.896448,37.750885,"t",37.5,-4.7,-0.03,-0.03,1.376,"[77]"
"207","Ectemnorhinus","marioni","insect",7,0.25,0.25,-46.896448,37.750885,"t",37.4,-5.5,0.09,0.13,1.376,"[77]"
"208","Ectemnorhinus","marioni","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.2,-4.6,0.01,0.07,1.376,"[77]"
"209","Ectemnorhinus","similis","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.3,-5,0.06,0.1,1.376,"[77]"
"210","Ectemnorhinus","similis","insect",7,0.25,0.25,-46.896448,37.750885,"t",38,-6,0.03,0.13,1.376,"[77]"
"211","Ectemnorhinus","similis","insect",7,0.25,0.25,-46.896448,37.750885,"t",39,-5.8,0.15,0.09,1.376,"[77]"
"212","Ectemnorhinus","similis","insect",7,0.25,0.25,-46.896448,37.750885,"t",39.3,-5.2,0.13,0.1,1.376,"[77]"
